datetime,S,NI,NR,P,R,ND,D
04-Aug-2020,2773976,198845,169737,9087,5707,797,794
05-Aug-2020,2772692,199424,170177,9206,5849,797,799
06-Aug-2020,2771457,199947,170620,9326,5992,797,804
07-Aug-2020,2770270,200420,171063,9447,6137,797,809
08-Aug-2020,2769130,200847,171501,9570,6284,797,814
09-Aug-2020,2768037,201232,171932,9693,6433,797,819
10-Aug-2020,2766990,201579,172352,9817,6584,797,824
11-Aug-2020,2765986,201892,172760,9942,6737,797,829
12-Aug-2020,2765025,202172,173154,10068,6892,797,835
13-Aug-2020,2764105,202424,173533,10195,7049,797,840
14-Aug-2020,2763224,202650,173896,10323,7208,797,845
15-Aug-2020,2762380,202851,174243,10452,7368,797,851
16-Aug-2020,2761571,203032,174573,10583,7531,797,856
17-Aug-2020,2760796,203192,174886,10714,7696,797,862
18-Aug-2020,2760052,203335,175183,10846,7863,797,868
19-Aug-2020,2759337,203461,175463,10979,8031,797,873
20-Aug-2020,2758651,203573,175726,11114,8202,797,879
21-Aug-2020,2757991,203672,175974,11249,8375,797,885
22-Aug-2020,2757355,203758,176206,11385,8551,797,891
23-Aug-2020,2756741,203834,176423,11523,8728,797,897
24-Aug-2020,2756149,203900,176626,11661,8907,797,903
25-Aug-2020,2755576,203956,176814,11801,9089,797,910
26-Aug-2020,2755021,204005,176990,11942,9272,797,916
27-Aug-2020,2754483,204046,177153,12083,9458,797,922
28-Aug-2020,2753960,204081,177303,12226,9646,797,929
29-Aug-2020,2753451,204110,177443,12370,9837,797,935
30-Aug-2020,2752955,204133,177571,12515,10029,797,942
31-Aug-2020,2752471,204152,177689,12661,10224,797,948
01-Sep-2020,2751998,204165,177798,12809,10421,797,955
02-Sep-2020,2751534,204175,177897,12957,10620,797,962
03-Sep-2020,2751078,204182,177988,13107,10822,797,969
04-Sep-2020,2750631,204185,178071,13258,11026,797,976
05-Sep-2020,2750190,204185,178146,13410,11232,797,983
06-Sep-2020,2749756,204182,178214,13563,11441,797,990
07-Sep-2020,2749327,204177,178275,13717,11652,797,997
08-Sep-2020,2748903,204170,178331,13872,11866,797,1005
09-Sep-2020,2748482,204161,178380,14029,12082,797,1012
10-Sep-2020,2748066,204150,178424,14187,12300,797,1019
11-Sep-2020,2747652,204137,178463,14346,12521,797,1027
12-Sep-2020,2747241,204123,178497,14506,12744,797,1035
13-Sep-2020,2746832,204108,178527,14668,12970,797,1042
14-Sep-2020,2746424,204091,178553,14830,13198,797,1050
15-Sep-2020,2746017,204073,178575,14994,13429,797,1058
16-Sep-2020,2745611,204055,178593,15160,13662,797,1066
17-Sep-2020,2745205,204035,178608,15326,13898,797,1074
18-Sep-2020,2744799,204014,178620,15494,14136,797,1082
19-Sep-2020,2744393,203993,178630,15663,14377,797,1091
20-Sep-2020,2743986,203971,178636,15833,14621,797,1099
21-Sep-2020,2743578,203948,178640,16005,14867,797,1107
22-Sep-2020,2743169,203925,178642,16178,15116,797,1116
23-Sep-2020,2742759,203901,178642,16352,15368,797,1124
24-Sep-2020,2742347,203876,178640,16528,15622,797,1133
25-Sep-2020,2741933,203851,178636,16705,15879,797,1142
26-Sep-2020,2741517,203826,178630,16883,16139,797,1151
27-Sep-2020,2741099,203800,178623,17063,16402,797,1160
28-Sep-2020,2740678,203773,178614,17243,16667,797,1169
29-Sep-2020,2740255,203747,178604,17426,16936,797,1178
30-Sep-2020,2739830,203719,178593,17610,17207,797,1187
01-Oct-2020,2739401,203692,178581,17795,17481,797,1197
02-Oct-2020,2738970,203664,178567,17981,17757,797,1206
03-Oct-2020,2738536,203636,178552,18169,18037,797,1216
04-Oct-2020,2738098,203607,178537,18358,18320,797,1225
05-Oct-2020,2737658,203578,178520,18549,18605,797,1235
06-Oct-2020,2737214,203549,178503,18741,18894,797,1245
07-Oct-2020,2736766,203520,178485,18935,19185,797,1255
08-Oct-2020,2736315,203490,178466,19130,19480,797,1265
09-Oct-2020,2735861,203460,178447,19326,19777,797,1275
10-Oct-2020,2735402,203429,178426,19524,20078,797,1286
11-Oct-2020,2734940,203398,178406,19724,20382,797,1296
12-Oct-2020,2734475,203367,178384,19925,20688,797,1306
13-Oct-2020,2734005,203336,178362,20127,20998,797,1317
14-Oct-2020,2733531,203304,178340,20331,21311,797,1328
15-Oct-2020,2733054,203272,178317,20537,21628,797,1339
16-Oct-2020,2732572,203240,178293,20744,21947,797,1349
17-Oct-2020,2732087,203207,178270,20952,22270,797,1360
18-Oct-2020,2731597,203174,178245,21162,22595,797,1372
19-Oct-2020,2731103,203141,178220,21374,22925,797,1383
20-Oct-2020,2730604,203108,178195,21587,23257,797,1394
21-Oct-2020,2730102,203074,178170,21802,23593,797,1406
22-Oct-2020,2729595,203040,178144,22018,23932,797,1417
23-Oct-2020,2729083,203006,178117,22236,24274,797,1429
24-Oct-2020,2728568,202971,178091,22456,24620,797,1441
25-Oct-2020,2728047,202936,178064,22677,24969,797,1453
26-Oct-2020,2727523,202901,178036,22900,25322,797,1465
27-Oct-2020,2726993,202865,178008,23124,25678,797,1477
28-Oct-2020,2726459,202829,177980,23350,26037,797,1489
29-Oct-2020,2725921,202793,177952,23578,26401,797,1502
30-Oct-2020,2725378,202756,177923,23808,26767,797,1514
31-Oct-2020,2724830,202719,177894,24039,27137,797,1527
01-Nov-2020,2724277,202682,177865,24271,27511,797,1540
02-Nov-2020,2723720,202644,177835,24506,27889,797,1553
03-Nov-2020,2723157,202607,177805,24742,28270,797,1566
04-Nov-2020,2722590,202568,177775,24980,28654,797,1579
05-Nov-2020,2722018,202530,177744,25219,29043,797,1592
06-Nov-2020,2721441,202491,177713,25461,29435,797,1606
07-Nov-2020,2720859,202452,177682,25704,29831,797,1619
08-Nov-2020,2720272,202412,177650,25948,30230,797,1633
09-Nov-2020,2719680,202372,177619,26195,30634,797,1647
10-Nov-2020,2719083,202332,177586,26443,31041,797,1660
11-Nov-2020,2718481,202291,177554,26693,31452,797,1675
12-Nov-2020,2717874,202250,177521,26945,31867,797,1689
13-Nov-2020,2717261,202209,177488,27199,32286,797,1703
14-Nov-2020,2716643,202167,177455,27454,32709,797,1717
15-Nov-2020,2716020,202125,177421,27711,33136,797,1732
16-Nov-2020,2715392,202083,177387,27971,33567,797,1747
17-Nov-2020,2714758,202040,177353,28232,34001,797,1762
18-Nov-2020,2714119,201997,177318,28494,34440,797,1777
19-Nov-2020,2713475,201954,177283,28759,34883,797,1792
20-Nov-2020,2712825,201910,177248,29025,35330,797,1807
21-Nov-2020,2712170,201865,177212,29294,35782,797,1823
22-Nov-2020,2711509,201821,177177,29564,36237,797,1838
23-Nov-2020,2710843,201776,177140,29836,36697,797,1854
24-Nov-2020,2710171,201730,177104,30110,37160,797,1870
25-Nov-2020,2709494,201685,177067,30386,37628,797,1886
26-Nov-2020,2708810,201638,177030,30664,38101,797,1902
27-Nov-2020,2708122,201592,176993,30944,38578,797,1918
28-Nov-2020,2707427,201545,176955,31226,39059,797,1935
29-Nov-2020,2706727,201498,176917,31510,39544,797,1951
30-Nov-2020,2706021,201450,176878,31796,40034,797,1968
01-Dec-2020,2705309,201402,176839,32083,40528,797,1985
02-Dec-2020,2704591,201353,176800,32373,41027,797,2002
03-Dec-2020,2703867,201304,176761,32665,41530,797,2019
04-Dec-2020,2703138,201255,176721,32958,42038,797,2037
05-Dec-2020,2702402,201205,176681,33254,42550,797,2054
06-Dec-2020,2701660,201155,176640,33552,43067,797,2072
07-Dec-2020,2700913,201104,176600,33852,43588,797,2090
08-Dec-2020,2700159,201053,176559,34153,44115,797,2108
09-Dec-2020,2699399,201002,176517,34457,44645,797,2126
10-Dec-2020,2698633,200950,176475,34763,45181,797,2144
11-Dec-2020,2697861,200898,176433,35071,45721,797,2163
12-Dec-2020,2697082,200845,176390,35381,46266,797,2181
13-Dec-2020,2696297,200792,176347,35694,46816,797,2200
14-Dec-2020,2695506,200738,176304,36008,47371,797,2219
15-Dec-2020,2694709,200684,176261,36324,47931,797,2238
16-Dec-2020,2693905,200629,176217,36643,48495,797,2257
17-Dec-2020,2693094,200574,176172,36963,49065,797,2277
18-Dec-2020,2692278,200519,176127,37286,49639,797,2297
19-Dec-2020,2691454,200463,176082,37611,50219,797,2316
20-Dec-2020,2690625,200407,176037,37938,50803,797,2336
21-Dec-2020,2689788,200350,175991,38267,51393,797,2357
22-Dec-2020,2688945,200293,175945,38599,51988,797,2377
23-Dec-2020,2688095,200235,175898,38932,52587,797,2397
24-Dec-2020,2687239,200177,175851,39268,53193,797,2418
25-Dec-2020,2686376,200119,175804,39606,53803,797,2439
26-Dec-2020,2685506,200059,175756,39946,54418,797,2460
27-Dec-2020,2684629,200000,175708,40289,55039,797,2481
28-Dec-2020,2683746,199940,175659,40634,55665,797,2503
29-Dec-2020,2682855,199879,175610,40980,56297,797,2524
30-Dec-2020,2681958,199818,175561,41330,56934,797,2546
31-Dec-2020,2681053,199757,175511,41681,57576,797,2568
01-Jan-2021,2680142,199695,175461,42035,58224,797,2590
02-Jan-2021,2679223,199632,175410,42391,58877,797,2612
03-Jan-2021,2678298,199570,175359,42749,59535,797,2635
04-Jan-2021,2677365,199506,175308,43109,60200,797,2658
05-Jan-2021,2676425,199442,175256,43472,60870,797,2681
06-Jan-2021,2675478,199378,175204,43837,61545,797,2704
07-Jan-2021,2674524,199313,175152,44205,62226,797,2727
08-Jan-2021,2673562,199247,175099,44575,62913,797,2751
09-Jan-2021,2672593,199181,175045,44947,63606,797,2774
10-Jan-2021,2671616,199115,174991,45321,64304,797,2798
11-Jan-2021,2670633,199048,174937,45698,65009,797,2822
12-Jan-2021,2669641,198980,174882,46077,65719,797,2846
13-Jan-2021,2668643,198912,174827,46458,66435,797,2871
14-Jan-2021,2667637,198844,174771,46842,67156,797,2896
15-Jan-2021,2666623,198775,174715,47228,67884,797,2921
16-Jan-2021,2665601,198705,174659,47617,68618,797,2946
17-Jan-2021,2664572,198635,174602,48008,69358,797,2971
18-Jan-2021,2663536,198564,174545,48401,70104,797,2996
19-Jan-2021,2662491,198493,174487,48797,70856,797,3022
20-Jan-2021,2661439,198421,174428,49195,71614,797,3048
21-Jan-2021,2660379,198349,174370,49596,72379,797,3074
22-Jan-2021,2659311,198276,174311,49999,73149,797,3101
23-Jan-2021,2658235,198203,174251,50404,73926,797,3127
24-Jan-2021,2657151,198129,174191,50812,74709,797,3154
25-Jan-2021,2656060,198054,174130,51223,75499,797,3181
26-Jan-2021,2654960,197979,174069,51635,76294,797,3208
27-Jan-2021,2653852,197903,174008,52051,77097,797,3236
28-Jan-2021,2652736,197827,173946,52468,77905,797,3263
29-Jan-2021,2651612,197750,173883,52889,78721,797,3291
30-Jan-2021,2650480,197673,173821,53311,79542,797,3319
31-Jan-2021,2649340,197595,173757,53736,80370,797,3348
01-Feb-2021,2648191,197516,173693,54164,81205,797,3376
02-Feb-2021,2647034,197437,173629,54594,82047,797,3405
03-Feb-2021,2645869,197358,173564,55027,82895,797,3434
04-Feb-2021,2644695,197277,173499,55462,83750,797,3463
05-Feb-2021,2643513,197197,173433,55899,84611,797,3493
06-Feb-2021,2642323,197115,173367,56339,85480,797,3522
07-Feb-2021,2641124,197033,173300,56782,86355,797,3552
08-Feb-2021,2639916,196950,173233,57227,87237,797,3582
09-Feb-2021,2638700,196867,173165,57675,88126,797,3613
10-Feb-2021,2637476,196783,173097,58125,89022,797,3643
11-Feb-2021,2636242,196699,173028,58577,89925,797,3674
12-Feb-2021,2635001,196614,172959,59033,90835,797,3705
13-Feb-2021,2633750,196528,172889,59490,91752,797,3737
14-Feb-2021,2632491,196442,172818,59950,92676,797,3768
15-Feb-2021,2631222,196355,172748,60413,93607,797,3800
16-Feb-2021,2629945,196267,172676,60879,94546,797,3832
17-Feb-2021,2628660,196179,172604,61346,95492,797,3865
18-Feb-2021,2627365,196090,172532,61817,96445,797,3897
19-Feb-2021,2626061,196001,172459,62290,97405,797,3930
20-Feb-2021,2624749,195911,172385,62765,98372,797,3963
21-Feb-2021,2623427,195820,172311,63243,99347,797,3997
22-Feb-2021,2622096,195729,172237,63724,100330,797,4030
23-Feb-2021,2620756,195637,172162,64207,101320,797,4064
24-Feb-2021,2619407,195544,172086,64693,102317,797,4098
25-Feb-2021,2618049,195451,172010,65181,103322,797,4133
26-Feb-2021,2616682,195357,171934,65672,104334,797,4167
27-Feb-2021,2615305,195263,171856,66165,105354,797,4202
28-Feb-2021,2613919,195167,171779,66661,106382,797,4237
01-Mar-2021,2612524,195072,171700,67160,107417,797,4273
02-Mar-2021,2611120,194975,171621,67661,108460,797,4308
03-Mar-2021,2609706,194878,171542,68165,109511,797,4344
04-Mar-2021,2608283,194780,171462,68671,110570,797,4380
05-Mar-2021,2606850,194681,171381,69180,111637,797,4417
06-Mar-2021,2605408,194582,171300,69691,112711,797,4454
07-Mar-2021,2603956,194482,171218,70205,113793,797,4491
08-Mar-2021,2602495,194382,171136,70721,114884,797,4528
09-Mar-2021,2601024,194281,171053,71240,115982,797,4566
10-Mar-2021,2599544,194179,170970,71761,117089,797,4603
11-Mar-2021,2598054,194076,170886,72285,118203,797,4641
12-Mar-2021,2596554,193973,170801,72812,119326,797,4680
13-Mar-2021,2595045,193869,170716,73341,120457,797,4719
14-Mar-2021,2593526,193764,170630,73873,121596,797,4758
15-Mar-2021,2591997,193659,170544,74407,122743,797,4797
16-Mar-2021,2590458,193553,170457,74943,123898,797,4836
17-Mar-2021,2588909,193446,170370,75483,125062,797,4876
18-Mar-2021,2587351,193338,170282,76024,126235,797,4916
19-Mar-2021,2585782,193230,170193,76569,127415,797,4957
20-Mar-2021,2584204,193121,170104,77115,128604,797,4997
21-Mar-2021,2582616,193012,170014,77664,129802,797,5038
22-Mar-2021,2581018,192901,169924,78216,131008,797,5079
23-Mar-2021,2579409,192790,169832,78770,132223,797,5121
24-Mar-2021,2577791,192679,169741,79327,133446,797,5163
25-Mar-2021,2576163,192566,169648,79886,134678,797,5205
26-Mar-2021,2574524,192453,169556,80448,135918,797,5247
27-Mar-2021,2572876,192339,169462,81012,137167,797,5290
28-Mar-2021,2571217,192224,169368,81579,138425,797,5333
29-Mar-2021,2569548,192109,169273,82147,139692,797,5376
30-Mar-2021,2567869,191993,169178,82719,140968,797,5420
31-Mar-2021,2566179,191876,169082,83293,142252,797,5464
01-Apr-2021,2564480,191758,168985,83869,143546,797,5508
02-Apr-2021,2562770,191640,168888,84448,144848,797,5553
03-Apr-2021,2561049,191521,168790,85029,146159,797,5598
04-Apr-2021,2559319,191401,168691,85612,147479,797,5643
05-Apr-2021,2557578,191281,168592,86198,148809,797,5688
06-Apr-2021,2555826,191159,168493,86786,150147,797,5734
07-Apr-2021,2554065,191037,168392,87377,151495,797,5780
08-Apr-2021,2552292,190915,168291,87970,152851,797,5826
09-Apr-2021,2550510,190791,168190,88565,154217,797,5873
10-Apr-2021,2548717,190667,168087,89163,155592,797,5920
11-Apr-2021,2546913,190542,167984,89763,156977,797,5968
12-Apr-2021,2545099,190416,167881,90365,158371,797,6015
13-Apr-2021,2543274,190289,167777,90969,159774,797,6063
14-Apr-2021,2541439,190162,167672,91576,161186,797,6112
15-Apr-2021,2539593,190034,167566,92185,162608,797,6160
16-Apr-2021,2537737,189905,167460,92796,164039,797,6209
17-Apr-2021,2535870,189775,167353,93410,165480,797,6258
18-Apr-2021,2533993,189645,167245,94025,166930,797,6308
19-Apr-2021,2532104,189514,167137,94643,168390,797,6358
20-Apr-2021,2530206,189382,167028,95263,169859,797,6408
21-Apr-2021,2528296,189249,166919,95885,171338,797,6459
22-Apr-2021,2526376,189116,166809,96510,172827,797,6510
23-Apr-2021,2524445,188981,166698,97136,174325,797,6561
24-Apr-2021,2522503,188846,166586,97765,175833,797,6612
25-Apr-2021,2520551,188710,166474,98396,177351,797,6664
26-Apr-2021,2518588,188574,166361,99028,178878,797,6717
27-Apr-2021,2516614,188436,166248,99663,180415,797,6769
28-Apr-2021,2514629,188298,166134,100300,181963,797,6822
29-Apr-2021,2512634,188159,166019,100939,183520,797,6875
30-Apr-2021,2510628,188019,165903,101580,185086,797,6929
01-May-2021,2508611,187879,165787,102223,186663,797,6983
02-May-2021,2506583,187738,165670,102867,188250,797,7037
03-May-2021,2504545,187595,165553,103514,189847,797,7092
04-May-2021,2502495,187452,165435,104163,191454,797,7147
05-May-2021,2500435,187309,165316,104813,193071,797,7202
06-May-2021,2498364,187164,165196,105466,194698,797,7258
07-May-2021,2496283,187019,165076,106120,196335,797,7314
08-May-2021,2494190,186873,164955,106776,197982,797,7370
09-May-2021,2492086,186726,164833,107434,199639,797,7427
10-May-2021,2489972,186578,164711,108094,201307,797,7484
11-May-2021,2487847,186430,164588,108755,202985,797,7541
12-May-2021,2485711,186281,164464,109419,204673,797,7599
13-May-2021,2483564,186131,164340,110083,206371,797,7657
14-May-2021,2481407,185980,164215,110750,208080,797,7715
15-May-2021,2479238,185828,164089,111418,209799,797,7774
16-May-2021,2477059,185676,163962,112088,211528,797,7833
17-May-2021,2474869,185522,163835,112759,213268,797,7893
18-May-2021,2472668,185368,163707,113432,215018,797,7953
19-May-2021,2470456,185213,163579,114107,216778,797,8013
20-May-2021,2468233,185058,163450,114783,218549,797,8073
21-May-2021,2466000,184901,163320,115460,220331,797,8134
22-May-2021,2463755,184744,163189,116139,222123,797,8196
23-May-2021,2461500,184586,163058,116820,223925,797,8257
24-May-2021,2459235,184427,162926,117501,225738,797,8319
25-May-2021,2456958,184267,162793,118185,227562,797,8382
26-May-2021,2454670,184107,162659,118869,229396,797,8444
27-May-2021,2452372,183946,162525,119555,231240,797,8507
28-May-2021,2450063,183784,162390,120242,233096,797,8571
29-May-2021,2447744,183621,162255,120930,234962,797,8635
30-May-2021,2445413,183457,162119,121620,236838,797,8699
31-May-2021,2443072,183293,161982,122310,238726,797,8763
01-Jun-2021,2440720,183127,161844,123002,240624,797,8828
02-Jun-2021,2438358,182961,161706,123695,242533,797,8894
03-Jun-2021,2435985,182794,161567,124389,244452,797,8959
04-Jun-2021,2433601,182627,161427,125084,246382,797,9025
05-Jun-2021,2431206,182458,161287,125780,248323,797,9092
06-Jun-2021,2428801,182289,161146,126477,250275,797,9158
07-Jun-2021,2426386,182119,161004,127174,252238,797,9226
08-Jun-2021,2423959,181948,160861,127873,254211,797,9293
09-Jun-2021,2421523,181776,160718,128573,256195,797,9361
10-Jun-2021,2419075,181604,160574,129273,258190,797,9429
11-Jun-2021,2416618,181431,160430,129974,260196,797,9498
12-Jun-2021,2414149,181257,160284,130676,262213,797,9567
13-Jun-2021,2411671,181082,160138,131379,264240,797,9636
14-Jun-2021,2409182,180906,159991,132082,266279,797,9706
15-Jun-2021,2406682,180730,159844,132786,268328,797,9776
16-Jun-2021,2404172,180553,159696,133491,270388,797,9846
17-Jun-2021,2401652,180375,159547,134196,272459,797,9917
18-Jun-2021,2399121,180196,159398,134901,274541,797,9988
19-Jun-2021,2396581,180016,159247,135607,276634,797,10060
20-Jun-2021,2394029,179836,159097,136313,278738,797,10132
21-Jun-2021,2391468,179655,158945,137020,280853,797,10204
22-Jun-2021,2388897,179473,158793,137727,282979,797,10277
23-Jun-2021,2386315,179291,158640,138435,285116,797,10350
24-Jun-2021,2383723,179107,158486,139142,287263,797,10424
25-Jun-2021,2381122,178923,158332,139850,289422,797,10497
26-Jun-2021,2378510,178738,158177,140558,291592,797,10572
27-Jun-2021,2375888,178552,158021,141266,293772,797,10646
28-Jun-2021,2373256,178366,157865,141975,295964,797,10721
29-Jun-2021,2370614,178179,157708,142683,298166,797,10796
30-Jun-2021,2367963,177991,157550,143391,300379,797,10872
01-Jul-2021,2365301,177802,157392,144099,302604,797,10948
02-Jul-2021,2362630,177612,157233,144807,304839,797,11025
03-Jul-2021,2359949,177422,157073,145515,307085,797,11101
04-Jul-2021,2357259,177231,156912,146223,309343,797,11179
05-Jul-2021,2354558,177039,156751,146930,311611,797,11256
06-Jul-2021,2351848,176847,156589,147637,313890,797,11334
07-Jul-2021,2349129,176654,156427,148344,316180,797,11413
08-Jul-2021,2346400,176460,156264,149050,318481,797,11491
09-Jul-2021,2343662,176265,156100,149756,320793,797,11570
10-Jul-2021,2340914,176069,155936,150462,323116,797,11650
11-Jul-2021,2338157,175873,155771,151167,325450,797,11730
12-Jul-2021,2335390,175676,155605,151871,327794,797,11810
13-Jul-2021,2332614,175479,155438,152575,330150,797,11890
14-Jul-2021,2329829,175280,155271,153278,332516,797,11971
15-Jul-2021,2327035,175081,155104,153980,334894,797,12053
16-Jul-2021,2324232,174881,154935,154682,337282,797,12134
17-Jul-2021,2321420,174681,154766,155382,339681,797,12216
18-Jul-2021,2318599,174480,154596,156082,342091,797,12299
19-Jul-2021,2315769,174278,154426,156781,344511,797,12381
20-Jul-2021,2312930,174075,154255,157479,346943,797,12465
21-Jul-2021,2310082,173872,154084,158176,349385,797,12548
22-Jul-2021,2307225,173668,153911,158871,351838,797,12632
23-Jul-2021,2304360,173463,153738,159566,354302,797,12716
24-Jul-2021,2301487,173258,153565,160259,356777,797,12801
25-Jul-2021,2298604,173052,153391,160952,359262,797,12886
26-Jul-2021,2295713,172845,153216,161642,361758,797,12971
27-Jul-2021,2292814,172638,153041,162332,364264,797,13057
28-Jul-2021,2289907,172429,152865,163020,366782,797,13143
29-Jul-2021,2286991,172221,152688,163707,369310,797,13230
30-Jul-2021,2284067,172011,152511,164392,371848,797,13316
31-Jul-2021,2281135,171801,152333,165076,374397,797,13404
01-Aug-2021,2278195,171591,152155,165758,376957,797,13491
02-Aug-2021,2275247,171379,151976,166438,379527,797,13579
03-Aug-2021,2272291,171167,151796,167117,382108,797,13667
04-Aug-2021,2269327,170955,151616,167793,384700,797,13756
05-Aug-2021,2266355,170741,151435,168469,387301,797,13845
06-Aug-2021,2263376,170527,151254,169142,389913,797,13934
07-Aug-2021,2260389,170313,151072,169813,392536,797,14024
08-Aug-2021,2257394,170098,150889,170482,395169,797,14114
09-Aug-2021,2254392,169882,150706,171149,397812,797,14204
10-Aug-2021,2251383,169666,150522,171815,400466,797,14295
11-Aug-2021,2248366,169449,150338,172478,403130,797,14386
12-Aug-2021,2245342,169231,150153,173138,405804,797,14478
13-Aug-2021,2242311,169013,149968,173797,408488,797,14570
14-Aug-2021,2239273,168794,149782,174453,411183,797,14662
